[main] 2021-07-15 02:03:46 INFO  com.project0.main.BankMain  - Hello
[main] 2021-07-15 02:37:43 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:37:43 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:37:43 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:37:43 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:37:43 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:37:43 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:37:43 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:37:48 INFO  com.project0.main.BankMain  - case1: login
[main] 2021-07-15 02:37:48 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:37:48 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:37:48 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:37:48 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:37:48 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:37:48 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:37:48 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:37:56 INFO  com.project0.main.BankMain  - case1: register
[main] 2021-07-15 02:37:56 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:37:56 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:37:56 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:37:56 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:37:56 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:37:56 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:37:56 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:38:00 INFO  com.project0.main.BankMain  - Thanks for showing interest in our App.. See you soon. :)
[main] 2021-07-15 02:40:29 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:40:29 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:40:29 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:40:29 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:40:29 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:40:29 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:40:29 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:40:38 INFO  com.project0.main.BankMain  - case1: login
[main] 2021-07-15 02:40:38 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:40:38 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:40:38 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:40:38 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:40:38 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:40:38 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:40:38 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:40:40 INFO  com.project0.main.BankMain  - case2: register
[main] 2021-07-15 02:40:40 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:40:40 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:40:40 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:40:40 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:40:40 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:40:40 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:40:40 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:40:43 INFO  com.project0.main.BankMain  - case1: login
[main] 2021-07-15 02:40:43 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:40:43 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:40:43 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:40:43 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:40:43 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:40:43 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:40:43 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:40:46 INFO  com.project0.main.BankMain  - case2: register
[main] 2021-07-15 02:40:46 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:40:46 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:40:46 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:40:46 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:40:46 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:40:46 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:40:46 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:40:47 INFO  com.project0.main.BankMain  - case2: register
[main] 2021-07-15 02:40:47 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:40:47 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:40:47 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:40:47 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:40:47 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:40:47 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:40:47 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:40:48 INFO  com.project0.main.BankMain  - case2: register
[main] 2021-07-15 02:40:48 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:40:48 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:40:48 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:40:48 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:40:48 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:40:48 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:40:48 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:40:49 INFO  com.project0.main.BankMain  - case2: register
[main] 2021-07-15 02:40:49 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:40:49 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:40:49 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:40:49 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:40:49 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:40:49 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:40:49 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:40:53 INFO  com.project0.main.BankMain  - Thanks for showing interest in our App.. See you soon. :)
[main] 2021-07-15 02:42:06 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:42:06 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:42:06 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:42:06 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:42:06 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:42:06 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:42:06 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:42:12 INFO  com.project0.main.BankMain  - case2: register
[main] 2021-07-15 02:42:12 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:42:12 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:42:12 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:42:12 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:42:12 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:42:12 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:42:12 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:42:13 INFO  com.project0.main.BankMain  - case1: login
[main] 2021-07-15 02:42:13 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:42:13 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:42:13 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:42:13 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:42:13 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:42:13 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:42:13 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - case1: login
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - case2: register
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 02:42:14 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 02:42:15 INFO  com.project0.main.BankMain  - Thanks for showing interest in our App.. See you soon. :)
[main] 2021-07-15 08:12:45 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 08:12:45 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 08:12:45 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:12:45 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 08:12:45 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 08:12:45 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 08:12:45 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:12:49 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 08:12:49 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 08:12:49 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:12:49 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 08:12:49 INFO  com.project0.main.BankMain  - 2)Login as an employee
[main] 2021-07-15 08:12:49 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 08:12:49 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:12:59 INFO  com.project0.main.BankMain  - login as an employee
[main] 2021-07-15 08:12:59 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 08:12:59 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 08:12:59 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:12:59 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 08:12:59 INFO  com.project0.main.BankMain  - 2)Login as an employee
[main] 2021-07-15 08:12:59 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 08:12:59 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:13:12 INFO  com.project0.main.BankMain  - Return to main menu
[main] 2021-07-15 08:13:12 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 08:13:12 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 08:13:12 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:13:12 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 08:13:12 INFO  com.project0.main.BankMain  - 2)Login as an employee
[main] 2021-07-15 08:13:12 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 08:13:12 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:13:30 INFO  com.project0.main.BankMain  - Return to main menu
[main] 2021-07-15 08:13:30 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 08:13:30 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 08:13:30 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:13:30 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 08:13:30 INFO  com.project0.main.BankMain  - 2)Login as an employee
[main] 2021-07-15 08:13:30 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 08:13:30 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:15:06 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 08:15:06 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 08:15:06 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:15:06 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 08:15:06 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 08:15:06 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 08:15:06 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:15:10 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 08:15:10 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 08:15:10 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:15:10 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 08:15:10 INFO  com.project0.main.BankMain  - 2)Login as an employee
[main] 2021-07-15 08:15:10 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 08:15:10 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:15:11 INFO  com.project0.main.BankMain  - Return to main menu
[main] 2021-07-15 08:15:11 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 08:15:11 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 08:15:11 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:15:11 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 08:15:11 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 08:15:11 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 08:15:11 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:15:13 INFO  com.project0.main.BankMain  - Thanks for showing interest in our App.. See you soon. :)
[main] 2021-07-15 08:15:25 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 08:15:25 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 08:15:25 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:15:25 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 08:15:25 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 08:15:25 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 08:15:25 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:15:30 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 08:15:30 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 08:15:30 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:15:30 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 08:15:30 INFO  com.project0.main.BankMain  - 2)Login as an employee
[main] 2021-07-15 08:15:30 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 08:15:30 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:15:33 INFO  com.project0.main.BankMain  - login as a Customer
[main] 2021-07-15 08:15:33 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 08:15:33 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 08:15:33 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:15:33 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 08:15:33 INFO  com.project0.main.BankMain  - 2)Login as an employee
[main] 2021-07-15 08:15:33 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 08:15:33 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:15:37 INFO  com.project0.main.BankMain  - login as an employee
[main] 2021-07-15 08:15:37 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 08:15:37 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 08:15:37 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:15:37 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 08:15:37 INFO  com.project0.main.BankMain  - 2)Login as an employee
[main] 2021-07-15 08:15:37 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 08:15:37 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 08:15:43 INFO  com.project0.main.BankMain  - login as an employee
[main] 2021-07-15 08:15:43 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 08:15:43 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 08:15:43 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 08:15:43 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 08:15:43 INFO  com.project0.main.BankMain  - 2)Login as an employee
[main] 2021-07-15 08:15:43 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 08:15:43 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 09:45:54 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 09:45:54 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 09:45:54 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 09:45:54 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 09:45:54 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 09:45:54 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 09:45:54 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 09:46:15 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 09:46:15 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 09:46:15 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 09:46:15 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 09:46:15 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 09:46:15 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 09:46:15 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 09:46:20 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 09:46:20 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 09:46:20 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 09:46:20 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 09:46:20 INFO  com.project0.main.BankMain  - 2)Log in as an employee
[main] 2021-07-15 09:46:20 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 09:46:20 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 09:46:25 INFO  com.project0.main.BankMain  - login as an employee
[main] 2021-07-15 09:46:25 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 09:46:25 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 09:46:25 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 09:46:25 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 09:46:25 INFO  com.project0.main.BankMain  - 2)Log in as an employee
[main] 2021-07-15 09:46:25 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 09:46:25 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 09:46:26 INFO  com.project0.main.BankMain  - login as an employee
[main] 2021-07-15 09:46:26 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 09:46:26 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 09:46:26 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 09:46:26 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 09:46:26 INFO  com.project0.main.BankMain  - 2)Log in as an employee
[main] 2021-07-15 09:46:26 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 09:46:26 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 09:46:30 INFO  com.project0.main.BankMain  - Return to main menu
[main] 2021-07-15 09:46:30 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 09:46:30 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 09:46:30 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 09:46:30 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 09:46:30 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 09:46:30 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 09:46:30 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 09:46:32 INFO  com.project0.main.BankMain  - case2: register
[main] 2021-07-15 09:46:32 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 09:46:32 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 09:46:32 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 09:46:32 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 09:46:32 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 09:46:32 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 09:46:32 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 09:46:36 INFO  com.project0.main.BankMain  - Thanks for showing interest in our App.. See you soon. :)
[main] 2021-07-15 23:01:10 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 23:01:10 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 23:01:10 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 23:01:10 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 23:01:10 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 23:01:10 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 23:01:10 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 23:01:15 WARN  com.project0.main.BankMain  - Invalid Choice... Please enter input between 1-3
[main] 2021-07-15 23:01:15 INFO  com.project0.main.BankMain  - Welcome to AMR Bank V1.0
[main] 2021-07-15 23:01:15 INFO  com.project0.main.BankMain  - ==================================
[main] 2021-07-15 23:01:15 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 23:01:15 INFO  com.project0.main.BankMain  - 1)Login
[main] 2021-07-15 23:01:15 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 23:01:15 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 23:01:15 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - 2)Log in as an employee
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 23:01:20 WARN  com.project0.main.BankMain  - Invalid Choice... Please enter input between 1-3
[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - 1)Login as a customer
